,House_age,Remodeled,YearRemodAdd,YearBuilt,TotRmsAbvGrd,FullBath,1stFlrSF,TotalBsmtSF,GarageArea,GarageCars,TotalSF,OverallQual,Neighborhood,BsmtQual,HeatingQC,KitchenQual,GarageFinish,GarageType,SaleType,SalePrice
0,5,5,2003,2003,8,2,856,856.0,548.0,2.0,1710,7,CollgCr,Gd,Ex,Gd,RFn,Attchd,WD,208500.0
1,31,31,1976,1976,6,2,1262,1262.0,460.0,2.0,1262,6,Veenker,Gd,Ex,TA,RFn,Attchd,WD,181500.0
2,7,6,2002,2001,6,2,920,920.0,608.0,2.0,1786,7,CollgCr,Gd,Ex,Gd,RFn,Attchd,WD,223500.0
3,91,36,1970,1915,7,1,961,756.0,642.0,3.0,1717,7,Crawfor,TA,Gd,Gd,Unf,Detchd,WD,140000.0
4,8,8,2000,2000,9,2,1145,1145.0,836.0,3.0,2198,8,NoRidge,Gd,Ex,Gd,RFn,Attchd,WD,250000.0
5,16,14,1995,1993,5,1,796,796.0,480.0,2.0,1362,5,Mitchel,Gd,Ex,TA,Unf,Attchd,WD,143000.0
6,3,2,2005,2004,7,2,1694,1686.0,636.0,2.0,1694,8,Somerst,Ex,Ex,Gd,RFn,Attchd,WD,307000.0
7,36,36,1973,1973,7,2,1107,1107.0,484.0,2.0,2090,7,NWAmes,Gd,Ex,TA,RFn,Attchd,WD,200000.0
8,77,58,1950,1931,8,2,1022,952.0,468.0,2.0,1774,7,OldTown,TA,Gd,TA,Unf,Detchd,WD,129900.0
9,69,58,1950,1939,5,1,1077,991.0,205.0,1.0,1077,5,BrkSide,TA,Ex,TA,RFn,Attchd,WD,118000.0
10,43,43,1965,1965,5,1,1040,1040.0,384.0,1.0,1040,5,Sawyer,TA,Ex,TA,Unf,Detchd,WD,129500.0
11,1,0,2006,2005,11,3,1182,1175.0,736.0,3.0,2324,9,NridgHt,Ex,Ex,Ex,Fin,BuiltIn,New,345000.0
12,46,46,1962,1962,4,1,912,912.0,352.0,1.0,912,5,Sawyer,TA,TA,TA,Unf,Detchd,WD,144000.0
13,1,0,2007,2006,7,2,1494,1494.0,840.0,3.0,1494,7,CollgCr,Gd,Ex,Gd,RFn,Attchd,New,279500.0
14,48,48,1960,1960,5,1,1253,1253.0,352.0,1.0,1253,6,NAmes,TA,TA,TA,RFn,Attchd,WD,157000.0
15,78,6,2001,1929,5,1,854,832.0,576.0,2.0,854,7,BrkSide,TA,Ex,TA,Unf,Detchd,WD,132000.0
16,40,40,1970,1970,5,1,1004,1004.0,480.0,2.0,1004,6,NAmes,TA,Ex,TA,Fin,Attchd,WD,149000.0
17,39,39,1967,1967,6,2,1296,0.0,516.0,2.0,1296,4,Sawyer,None,TA,TA,Unf,CarPort,WD,90000.0
18,4,4,2004,2004,6,1,1114,1114.0,576.0,2.0,1114,5,SawyerW,TA,Ex,Gd,Unf,Detchd,WD,159000.0
19,51,44,1965,1958,6,1,1339,1029.0,294.0,1.0,1339,5,NAmes,TA,TA,TA,Unf,Attchd,COD,139000.0
20,1,0,2006,2005,9,3,1158,1158.0,853.0,3.0,2376,8,NridgHt,Ex,Ex,Gd,RFn,BuiltIn,New,325300.0
21,77,57,1950,1930,6,1,1108,637.0,280.0,1.0,1108,7,IDOTRR,TA,Ex,Gd,Unf,Attchd,WD,139400.0
22,6,6,2002,2002,7,2,1795,1777.0,534.0,2.0,1795,8,CollgCr,Gd,Ex,Gd,RFn,Attchd,WD,230000.0
23,31,31,1976,1976,6,1,1060,1040.0,572.0,2.0,1060,5,MeadowV,Gd,TA,TA,Unf,Attchd,WD,129900.0
24,42,9,2001,1968,6,1,1060,1060.0,270.0,1.0,1060,5,Sawyer,TA,Ex,Gd,Unf,Attchd,WD,154000.0
25,2,2,2007,2007,7,2,1600,1566.0,890.0,3.0,1600,8,NridgHt,Gd,Ex,Gd,RFn,Attchd,WD,256300.0
26,59,10,2000,1951,5,1,900,900.0,576.0,2.0,900,5,NAmes,TA,TA,Gd,Unf,Detchd,WD,134800.0
27,3,2,2008,2007,7,2,1704,1704.0,772.0,3.0,1704,8,NridgHt,Ex,Ex,Gd,RFn,Attchd,WD,306000.0
28,49,9,1997,1957,6,1,1600,1484.0,319.0,1.0,1600,5,NAmes,TA,TA,TA,RFn,Attchd,WD,207500.0
29,81,58,1950,1927,4,1,520,520.0,240.0,1.0,520,4,BrkSide,TA,Fa,Fa,Unf,Detchd,WD,68500.0
30,88,58,1950,1920,6,1,649,649.0,250.0,1.0,1317,4,IDOTRR,TA,TA,TA,Unf,Detchd,WD,40000.0
31,42,2,2006,1966,6,1,1228,1228.0,271.0,1.0,1228,5,Sawyer,TA,Gd,Gd,Unf,Attchd,WD,149350.0
32,1,1,2007,2007,7,2,1234,1234.0,484.0,2.0,1234,8,CollgCr,Ex,Ex,Gd,RFn,Attchd,WD,179900.0
33,51,51,1959,1959,6,1,1700,1398.0,447.0,2.0,1700,5,NAmes,TA,Gd,Gd,RFn,Attchd,WD,165500.0
34,2,2,2005,2005,6,2,1561,1561.0,556.0,2.0,1561,9,NridgHt,Ex,Ex,Ex,Fin,Attchd,WD,277500.0
35,2,1,2005,2004,9,3,1132,1117.0,691.0,3.0,2452,8,NridgHt,Ex,Ex,Gd,Fin,BuiltIn,WD,309000.0
36,15,14,1995,1994,6,1,1097,1097.0,672.0,2.0,1097,5,CollgCr,Gd,Ex,TA,Unf,Attchd,WD,145000.0
37,55,19,1990,1954,5,1,1297,1297.0,498.0,2.0,1297,5,NAmes,TA,Gd,TA,Fin,Attchd,WD,153000.0
38,57,3,2007,1953,5,1,1057,1057.0,246.0,1.0,1057,5,NAmes,TA,TA,Gd,Unf,Detchd,WD,109000.0
39,53,53,1955,1955,6,2,1152,0.0,0.0,0.0,1152,4,Edwards,None,TA,Fa,Unf,Unbuilt,WD,82000.0
40,41,41,1965,1965,6,2,1324,1088.0,440.0,2.0,1324,6,NAmes,TA,Ex,TA,RFn,Attchd,WD,160000.0
41,48,48,1959,1959,5,1,1328,1350.0,308.0,1.0,1328,5,Timber,TA,Gd,TA,RFn,Attchd,WD,170000.0
42,24,24,1983,1983,5,1,884,840.0,504.0,2.0,884,5,SawyerW,Gd,Gd,Gd,RFn,Attchd,WD,144000.0
